Questions,Answers,extended_answer,base_response,generated_samples,synonyms,synonym_responses,antonyms,antonym_responses,selfcheck_score,hallucination_check,score
"Between Gareth Evans and Pierre Chenal, who's had a more diver career?",Gareth Huw Evans,Gareth Huw Evans has had a more diverse career between Gareth Evans and Pierre Chenal.," Gareth Evans, known for films like ""The Raid"" and ""Merantau,"" has had a more diverse career, spanning action, martial arts, and crime genres, compared to Pierre Chenal, who primarily worked in French crime and mystery films in the 1930s and 1940s."," Gareth Evans, known for films like ""The Raid"" and ""Merantau,"" has had a more diverse career, as he has worked extensively in both filmmaking and television, while Pierre Chenal, a French filmmaker from the 1930s, primarily focused on cinema.; Gareth Evans, known for films like ""The Raid"" and ""Merantau,"" has had a more diverse career, as he has worked extensively in both film and television, and his work spans various genres. Pierre Chenal, on the other hand, is primarily known for his work in French cinema during the 1930s and 1940s.; Gareth Evans, known for films like ""The Raid"" and ""Merantau,"" has had a more diverse career, spanning action, martial arts, and crime genres, compared to Pierre Chenal, who primarily worked in French crime and mystery films in the 1930s and 1940s.; Gareth Evans, known for films like ""The Raid"" and ""Merantau,"" has had a more diverse career, spanning action, drama, and martial arts genres, compared to Pierre Chenal, who primarily worked in French cinema during the 1930s and 1940s.; Gareth Evans, known for films like ""The Raid"" and ""Merantau,"" has had a more diverse career, as he has worked extensively in both filmmaking and television, while Pierre Chenal, a French filmmaker from the 1930s, primarily focused on cinema.; Gareth Evans, known for films like ""The Raid"" and ""Merantau,"" has had a more diverse career, spanning action, drama, and martial arts genres, compared to Pierre Chenal, who primarily worked in French cinema during the 1930s and 1940s.; Gareth Evans, known for films like ""The Raid"" and ""Merantau,"" has had a more diverse career, as he has worked extensively in both filmmaking and television, while Pierre Chenal, a French filmmaker from the 1930s, primarily focused on cinema.; Gareth Evans, known for films like ""The Raid"" and ""Merantau,"" has had a more diverse career, spanning action, martial arts, and crime genres, compared to Pierre Chenal, who primarily worked in French cinema during the 1930s and 1940s.; Gareth Evans, known for films like ""The Raid"" and ""Merantau,"" has had a more diverse career, spanning action, drama, and martial arts genres, compared to Pierre Chenal, who primarily worked in French cinema during the 1930s and 1940s.; Gareth Evans, known for films like ""The Raid"" and ""Merantau,"" has had a more diverse career, as he has worked extensively in both the Indonesian and international film industries. Pierre Chenal, while a notable French filmmaker, primarily focused on French cinema during his career.","1. Gareth Evans, renowned for movies such as ""The Raid"" and ""Merantau,"" has a more extensive career that encompasses action, martial arts, and crime genres, in contrast to Pierre Chenal, who predominantly focused on French crime and mystery films during the 1930s and 1940s.;2. Gareth Evans, with films like ""The Raid"" and ""Merantau"" under his belt, has a more versatile career that spans across action, martial arts, and crime genres, whereas Pierre Chenal primarily worked in French crime and mystery films during the 1930s and 1940s.;3. Gareth Evans, whose works include ""The Raid"" and ""Merantau,"" has a more varied career that encompasses action, martial arts, and crime genres, in comparison to Pierre Chenal, who primarily worked in French crime and mystery films during the 1930s and 1940s.;4. Gareth Evans, known for movies like ""The Raid"" and ""Merantau,"" has a more multifaceted career that spans action, martial arts, and crime genres, in contrast to Pierre Chenal, who primarily worked in French crime and mystery films during the 1930s and 1940s.;5. Gareth Evans, with films such as ""The Raid"" and ""Merantau,"" has a more extensive and diverse career that encompasses action, martial arts, and crime genres, in contrast to Pierre Chenal, who primarily worked in French crime and mystery films during the 1930s and 1940s.",YES;YES;YES;YES;YES,"1. Pierre Chenal, known for French crime and mystery films, has had a less diverse career compared to Gareth Evans.;2. Gareth Evans' career, spanning action, martial arts, and crime genres, is not as limited as Pierre Chenal's career in French crime and mystery films.;3. It is not the case that Pierre Chenal has had a more diverse career than Gareth Evans.;4. Gareth Evans' career, with its variety in action, martial arts, and crime genres, is more extensive than Pierre Chenal's career primarily in French crime and mystery films.;5. Pierre Chenal's career, primarily in French crime and mystery films, is not as broad as Gareth Evans' career spanning action, martial arts, and crime genres.",NO;YES;NO;YES;YES,0.1,no,0.3
"Which plant genus is part of a family with a longer name, Morning glory or Rothmannia?",Morning glory,Morning glory is the plant genus that is part of a family with a longer name.," The plant genus Rothmannia is part of the family Gesneriaceae, which has a longer name than Morning glory, which belongs to the Convolvulaceae family."," The plant genus Rothmannia is part of the family Gesneriaceae, which has a longer name compared to Morning glory, which belongs to the Convolvulaceae family.; The plant genus Rothmannia is part of the family Gesneriaceae, which has a longer name compared to Morning glory, which belongs to the Convolvulaceae family.; The plant genus Rothmannia is part of the family Gesneriaceae, which has a longer name compared to Morning glory, which belongs to the Convolvulaceae family.; The plant genus Rothmannia is part of the family Gesneriaceae, which has a longer name compared to Morning glory, which belongs to the Convolvulaceae family.; The plant genus Rothmannia is part of the family Gesneriaceae, which has a longer name than Morning glory, which belongs to the Convolvulaceae family.; The plant genus Rothmannia is part of the family Gesneriaceae, which has a longer name compared to Morning glory, which belongs to the Convolvulaceae family.; The plant genus Rothmannia is part of the family Gesneriaceae, which has a longer name than Morning glory, which belongs to the Convolvulaceae family.; The plant genus Rothmannia is part of the family Gesneriaceae, which has a longer name compared to Morning glory, which belongs to the Convolvulaceae family.; The plant genus Rothmannia is part of the family Gesneriaceae, which has a longer name compared to Morning glory, which belongs to the Convolvulaceae family.; The plant genus Rothmannia is part of the family Gesneriaceae, which has a longer name compared to Morning glory, which belongs to the Convolvulaceae family.","1. The plant genus Rothmannia is a member of the family Gesneriaceae, a family with a longer name than the family to which Morning glory belongs, Convolvulaceae.;2. Morning glory is part of the Convolvulaceae family, while Rothmannia is found in the Gesneriaceae family, a family with a more extensive name.;3. The plant genus Rothmannia is located within the Gesneriaceae family, a family with a longer name compared to the family of Morning glory, which is in the Convolvulaceae family.;4. Rothmannia, a plant genus, is a part of the Gesneriaceae family, a family with a longer name than the family of Morning glory, which is in the Convolvulaceae family.;5. Morning glory is a member of the Convolvulaceae family, while Rothmannia is a part of the Gesneriaceae family, a family with a more extended name.",YES;YES;YES;YES;YES,"1. Morning glory, not Rothmannia, is part of a family with a shorter name.;2. The Convolvulaceae family, not Gesneriaceae, has a shorter name than Rothmannia.;3. Rothmannia does not belong to a family with a shorter name than Morning glory.;4. Morning glory's family, Convolvulaceae, has a shorter name than Gesneriaceae, where Rothmannia belongs.;5. Gesneriaceae, not Convolvulaceae, is the family with a shorter name for Morning glory.",YES;YES;YES;YES;YES,0,no,0.5
Which jobs do Jeff Tremaine and Keanu Reeves share?,"director, producer",Jeff Tremaine and Keanu Reeves share the jobs of director and producer.," Jeff Tremaine and Keanu Reeves have both worked in filmmaking, with Jeff Tremaine as a director and producer, and Keanu Reeves as an actor and occasional producer."," Jeff Tremaine and Keanu Reeves have both worked in filmmaking, with Jeff Tremaine as a director and producer, and Keanu Reeves as an actor and occasional producer.; Jeff Tremaine and Keanu Reeves have both worked in filmmaking, with Jeff Tremaine as a director and producer, and Keanu Reeves as an actor and occasional producer.; Jeff Tremaine and Keanu Reeves have both worked in the film industry, with Jeff Tremaine primarily as a director and producer, and Keanu Reeves as an actor.; Jeff Tremaine and Keanu Reeves have both worked in filmmaking, with Jeff Tremaine as a director and producer, and Keanu Reeves as an actor and occasional producer.; Jeff Tremaine and Keanu Reeves have both worked in the film industry, with Jeff Tremaine primarily as a director and producer, and Keanu Reeves as an actor.; Jeff Tremaine and Keanu Reeves have both worked in filmmaking, with Jeff Tremaine as a director and producer, and Keanu Reeves as an actor and occasional producer.; Jeff Tremaine and Keanu Reeves have both worked in filmmaking, with Jeff Tremaine as a director and producer, and Keanu Reeves as an actor and occasional producer.; Jeff Tremaine and Keanu Reeves have both worked in filmmaking, with Jeff Tremaine as a director and producer, and Keanu Reeves as an actor and occasional producer.; Jeff Tremaine and Keanu Reeves have both worked in filmmaking, with Jeff Tremaine as a director and producer, and Keanu Reeves as an actor and occasional producer.; Jeff Tremaine and Keanu Reeves have both worked in filmmaking, with Jeff Tremaine as a director and producer, and Keanu Reeves as an actor and occasional producer.","1. Jeff Tremaine and Keanu Reeves have both found their careers in the film industry, with Jeff Tremaine serving as a director and producer, and Keanu Reeves as an actor and sometimes a producer.;2. In the realm of cinema, Jeff Tremaine and Keanu Reeves have shared roles as a director, producer, and actor, respectively.;3. Jeff Tremaine and Keanu Reeves have both contributed to the filmmaking world, with Jeff Tremaine working as a director and producer, and Keanu Reeves as an actor and an occasional producer.;4. Both Jeff Tremaine and Keanu Reeves have been involved in filmmaking, with Jeff Tremaine taking on the roles of director and producer, and Keanu Reeves as an actor and a producer on occasion.;5. Jeff Tremaine and Keanu Reeves have intertwined paths in the film industry, with Jeff Tremaine serving as a director and producer, and Keanu Reeves as an actor and a producer on select projects.",YES;NO;YES;YES;NO,"1. Jeff Tremaine and Keanu Reeves have not both worked in the same job.;2. Jeff Tremaine is not an actor and occasional producer like Keanu Reeves.;3. Keanu Reeves is not a director and producer like Jeff Tremaine.;4. Jeff Tremaine has not worked as an actor and occasional producer, unlike Keanu Reeves.;5. Keanu Reeves has not worked as a director and producer, unlike Jeff Tremaine.",YES;YES;NO;YES;NO,0,yes,0.5
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Guns N Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.," In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective."," In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie soundtrack of ""Terminator 2: Judgment Day,"" where Arnold Schwarzenegger played a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.; In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.; In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.; In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.; In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.","1. In the year 1990, Guns N' Roses showcased their hit song ""You Could Be Mine"" for the film ""Terminator 2: Judgment Day,"" featuring Arnold Schwarzenegger as a retired New York Police detective.;2. The year 1990 marked the time when Guns N' Roses performed their song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.;3. Guns N' Roses' performance of ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day"" took place in the year 1990, with Arnold Schwarzenegger portraying a former New York Police detective.;4. In the movie ""Terminator 2: Judgment Day,"" released in 1990, Arnold Schwarzenegger played a former New York Police detective, and Guns N' Roses performed their song ""You Could Be Mine."";5. The song ""You Could Be Mine"" by Guns N' Roses was performed for the movie ""Terminator 2: Judgment Day"" in 1990, with Arnold Schwarzenegger portraying a former New York Police detective.",YES;YES;YES;YES;YES,"1. Guns N' Roses did not perform the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective in 1990.;2. The year Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective was not 1990.;3. Arnold Schwarzenegger was not a former New York Police detective in the movie for which Guns N' Roses performed ""You Could Be Mine"" in 1990.;4. ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective was not the movie for which Guns N' Roses performed ""You Could Be Mine"" in 1990.;5. Guns N' Roses did not perform ""You Could Be Mine"" in any year other than 1990 for a movie starring Arnold Schwarzenegger as a former New York Police detective.",NO;YES;YES;NO;NO,0.5,yes,0.2
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","Brown State Fishing Lake is in a country that has a population of 9,984 inhabitants."," Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants."," Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.","1. Brown State Fishing Lake resides within the United States, a nation boasting an estimated population of over 331 million people.;2. The United States, home to Brown State Fishing Lake, is a country with an estimated population of more than 331 million inhabitants.;3. In the United States, where Brown State Fishing Lake is situated, the population is estimated to exceed 331 million people.;4. Brown State Fishing Lake is found in the United States, a country with an estimated population of over 331 million residents.;5. The United States, home to Brown State Fishing Lake, has an estimated population of over 331 million people.",YES;YES;NO;YES;NO,1. Brown State Fishing Lake is not located in a country with an estimated population of over 331 million inhabitants.;2. The country where Brown State Fishing Lake is located does not have an estimated population of over 331 million inhabitants.;3. Brown State Fishing Lake is not situated in a country with a population of how many inhabitants (less than 331 million).;4. The population of the country where Brown State Fishing Lake is located is not over 331 million inhabitants.;5. Brown State Fishing Lake is located in a country with a population of fewer than 331 million inhabitants.,YES;NO;YES;NOT SURE;NOT SURE,0,no,0.5
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has a higher instrument to person ratio compared to Wolf Alice.," Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece band setup."," Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece lineup.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece band setup.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs as a solo artist, while Wolf Alice is a band with multiple members.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece band setup.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece lineup.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo, while Wolf Alice is a band with multiple members.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece lineup.; Badly Drawn Boy, a solo artist, typically has a higher instrument-to-person ratio compared to Wolf Alice, a band.; Badly Drawn Boy, a solo artist, typically has a higher instrument-to-person ratio compared to Wolf Alice, a band.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs as a solo artist, while Wolf Alice is a band with multiple members playing various instruments.","1. Badly Drawn Boy's performance act usually features a smaller number of instruments relative to the number of band members compared to Wolf Alice, who are recognized for their four-piece band setup.;2. Wolf Alice's performance act typically has a higher instrument-to-person ratio compared to Badly Drawn Boy, as the latter often performs solo or with a smaller band.;3. In terms of the instrument-to-person ratio, Wolf Alice's performance act tends to be more instrumentally dense compared to Badly Drawn Boy, who often performs with a smaller band or even solo.;4. Badly Drawn Boy's performance act generally involves fewer instruments per person compared to Wolf Alice, due to the latter's four-piece band setup.;5. Wolf Alice's performance act typically boasts a higher instrument-to-person ratio compared to Badly Drawn Boy, given that the former is known for their four-piece band, while the latter often performs solo or with a smaller band.",YES;YES;YES;YES;YES,"1. Wolf Alice typically performs with a higher instrument-to-person ratio compared to Badly Drawn Boy, as Wolf Alice is known for their four-piece band setup, while Badly Drawn Boy often performs solo or with a smaller band.;2. Badly Drawn Boy has a higher person-to-instrument ratio compared to Wolf Alice.;3. The instrument-to-person ratio for Wolf Alice is lower than that of Badly Drawn Boy, as Wolf Alice often performs with a four-piece band, while Badly Drawn Boy is known for solo or smaller band performances.;4. Badly Drawn Boy's performances have a higher person count compared to the number of instruments used, while Wolf Alice's performances have a higher instrument count compared to the number of band members.;5. Wolf Alice's performances have a lower instrument-to-person ratio compared to Badly Drawn Boy, as Wolf Alice is known for their four-piece band setup, while Badly Drawn Boy often performs solo or with a smaller band.",YES;NOT SURE;YES;NOT SURE;YES,0,no,0.4
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,"The Livesey Hal War Memorial commemorates the fallen of World War II, a war that had over 60 million casualties."," The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties."," The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a global conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a global conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a global conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.","1. The Livesey Hal War Memorial honors those who perished during World War II, a war that caused more than 60 million casualties.;2. The fallen of the World War II conflict are remembered by the Livesey Hal War Memorial, a war that resulted in over 60 million casualties.;3. The Livesey Hal War Memorial pays tribute to the victims of World War II, a war that resulted in over 60 million casualties.;4. The Livesey Hal War Memorial commemorates the casualties of World War II, a war that resulted in over 60 million deaths.;5. The Livesey Hal War Memorial honors the fallen of World War II, a war that resulted in over 60 million casualties and claimed countless lives.",YES;YES;YES;YES;YES,"1. The Livesey Hal War Memorial does not commemorate the fallen of World War II.;2. World War II is not the war that the Livesey Hal War Memorial commemorates the fallen of, which had over 60 million casualties.;3. The Livesey Hal War Memorial does not commemorate the fallen of a conflict that resulted in over 60 million casualties.;4. The war that the Livesey Hal War Memorial commemorates the fallen of did not have over 60 million casualties.;5. World War II is not the war that had over 60 million casualties and is commemorated by the Livesey Hal War Memorial.",YES;YES;NO;NO;NO,0,no,0.2
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with Max Martin, Savan Kotecha, and Ilya Salmanzadeh, who are all talented writers, on her third studio album, Delirium."," Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium."," Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.","1. Ellie Goulding teamed up with Max Martin, Greg Kurstin, and Jim Eliot for her third studio album, Delirium.;2. On her third studio album, Delirium, Ellie Goulding joined forces with Max Martin, Greg Kurstin, and Jim Eliot.;3. Max Martin, Greg Kurstin, and Jim Eliot were the other writers Ellie Goulding worked with on her third studio album, Delirium.;4. Ellie Goulding's third studio album, Delirium, features collaborations with Max Martin, Greg Kurstin, and Jim Eliot.;5. The third studio album, Delirium, by Ellie Goulding includes collaborations with Max Martin, Greg Kurstin, and Jim Eliot.",YES;YES;YES;YES;YES,"1. Ellie Goulding did not collaborate with Max Martin, Greg Kurstin, or Jim Eliot on her third studio album, Delirium.;2. On her third studio album, Delirium, Ellie Goulding did not work with any of the writers mentioned: Max Martin, Greg Kurstin, or Jim Eliot.;3. Ellie Goulding did not collaborate with Max Martin, Greg Kurstin, or Jim Eliot for her third studio album, Delirium.;4. The writers Max Martin, Greg Kurstin, and Jim Eliot were not involved in Ellie Goulding's third studio album, Delirium.;5. Ellie Goulding did not include Max Martin, Greg Kurstin, or Jim Eliot as collaborators on her third studio album, Delirium.",NO;NO;YES;YES;YES,0,no,0.3
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,"Based on a True Story... is an album by country music star Blake Shelton, with the single My Eyes."," The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw."," The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by the country music star Jason Aldean.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by the country music star Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.","1. Tim McGraw released the album ""Based on a True Story"" featuring the single ""My Eyes"".;2. The country music single ""My Eyes"" is part of Tim McGraw's album ""Based on a True Story"".;3. ""My Eyes"" is a track on Tim McGraw's album titled ""Based on a True Story"".;4. Tim McGraw is the artist behind the album ""Based on a True Story"", which includes the single ""My Eyes"".;5. The single ""My Eyes"" can be found on Tim McGraw's album ""Based on a True Story"".",YES;YES;YES;YES;YES,"1. The album ""Based on a True Story"" with the single ""My Eyes"" is not by Tim McGraw.;2. Tim McGraw did not release the album ""Based on a True Story"" with the single ""My Eyes"".;3. ""My Eyes"" is not a single from Tim McGraw's album ""Based on a True Story"".;4. The artist who released the album ""Based on a True Story"" with the single ""My Eyes"" is not Tim McGraw.;5. Tim McGraw did not produce the single ""My Eyes"" that is part of the album ""Based on a True Story"".",YES;NO;YES;YES;YES,0.1,no,0.4
Were the bands Skin Yard and Ostava from the U.S.?,no,"No, neither Skin Yard nor Ostava were from the U.S."," Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles."," Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava were American bands. Skin Yard was from Seattle, Washington, and Ostava was from San Francisco, California.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava were American bands. Skin Yard was from Seattle, Washington, and Ostava was from Los Angeles, California.","1. Both Skin Yard and Ostava are musical groups that hail from the United States, with Skin Yard originating in Seattle and Ostava in Los Angeles.;2. Skin Yard, a band, is based in Seattle, while Ostava, another band, is from Los Angeles, making both American bands.;3. Seattle is the birthplace of Skin Yard, an American band, while Los Angeles is the home of Ostava, another American band.;4. Skin Yard, an American band, was formed in Seattle, and Ostava, another American band, was established in Los Angeles.;5. Both Skin Yard and Ostava are musical groups that originated in the United States, with Skin Yard in Seattle and Ostava in Los Angeles.",YES;YES;YES;YES;YES,"1. Neither Skin Yard nor Ostava are American bands.;2. Skin Yard is not an American band.;3. Ostava is not an American band.;4. Neither Skin Yard nor Ostava originated from the U.S.;5. Skin Yard did not originate from Seattle, and Ostava did not originate from Los Angeles. (This is a slight deviation from the answer, but it negates the information about their origins, which was part of the answer.)",NO;NO;YES;YES;NO,0,yes,0.2
